,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,1,-1,0,2,-2,-3,3,4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,MIBR,3,23,0.78,0.166666667,1,0,0.83,0.61,0.8875,0.31,0.5425,1,0.11,0,1,1,0,1,17,0.68,0.137931034,0,0.4,0.29,0.45,0.69,0.1125,0.4575,0.89,0,0,1,0,0,1
1,100 Thieves,1,17,0.68,0.137931034,0,0.4,0.29,0.45,0.69,0.1125,0.4575,0.89,0,0,1,0,0,3,23,0.78,0.166666667,1,0,0.83,0.61,0.8875,0.31,0.5425,1,0.11,0,1,1,0,0
2,Sentinels,2,23,0.8,0.28,0.5,1,0.44,0.63,0.705,0.38,0.605,0.916666667,0.11,0,1,1,0,2,20,0.71,0.2,0,0,0.33,0.55,0.62,0.295,0.395,0.556666667,0.083333333,0,1,0,0,1
3,Cloud9,2,20,0.71,0.2,0,0,0.33,0.55,0.62,0.295,0.395,0.556666667,0.083333333,0,1,0,0,2,23,0.8,0.28,0.5,1,0.44,0.63,0.705,0.38,0.605,0.916666667,0.11,0,1,1,0,0
4,100 Thieves,3,24,0.81,0.210526316,0,0,0.73,0.63,0.8625,0.2225,0.5925,1,0,0,1,1,0,1,18,0.71,0.074074074,0,0,0.38,0.48,0.7775,0.1375,0.4075,1,0,0,1,0,0,1
5,NRG Esports,1,18,0.71,0.074074074,0,0,0.38,0.48,0.7775,0.1375,0.4075,1,0,0,1,0,0,3,24,0.81,0.210526316,0,0,0.73,0.63,0.8625,0.2225,0.5925,1,0,0,1,1,0,0
6,Cloud9,2,24,0.65,0.176470588,0.5,0,0.54,0.46,0.6675,0.225,0.485,0.796666667,0,0,1,0,0,2,26,0.74,0.153846154,0,0.5,0.25,0.69,0.775,0.3325,0.515,1,0.203333333,0,1,1,0,0
7,Evil Geniuses,2,26,0.74,0.153846154,0,0.5,0.25,0.69,0.775,0.3325,0.515,1,0.203333333,0,1,1,0,2,24,0.65,0.176470588,0.5,0,0.54,0.46,0.6675,0.225,0.485,0.796666667,0,0,1,0,0,1
8,KRÜ Esports,1,20,0.68,0.04,0,1,0.57,0.29,0.67,0.105,0.423333333,0.916666667,0,0,1,1,0,3,19,0.75,0.266666667,0,1,0.67,0.65,0.895,0.33,0.576666667,1,0.083333333,0,1,1,0,0
9,MIBR,3,19,0.75,0.266666667,0,1,0.67,0.65,0.895,0.33,0.576666667,1,0.083333333,0,1,1,0,1,20,0.68,0.04,0,1,0.57,0.29,0.67,0.105,0.423333333,0.916666667,0,0,1,1,0,1
10,G2 Esports,3,29,0.75,0.171428571,0,0,0.48,0.61,0.82,0.3175,0.6075,0.963333333,0,0,1,1,0,3,37,0.7,0.179487179,0,0,0.36,0.58,0.6825,0.18,0.3925,1,0.036666667,0,0.5,1,0,0
11,Sentinels,3,37,0.7,0.179487179,0,0,0.36,0.58,0.6825,0.18,0.3925,1,0.036666667,0,0.5,1,0,3,29,0.75,0.171428571,0,0,0.48,0.61,0.82,0.3175,0.6075,0.963333333,0,0,1,1,0,1
12,MIBR,2,19,0.65,0.142857143,0.5,0,0.47,0.36,0.745,0.2,0.6025,0.666666667,0,0,0.5,0,0,2,25,0.74,0.105263158,0,0,0.56,0.68,0.8,0.255,0.3975,1,0.333333333,0,1,1,0,0
13,Sentinels,2,25,0.74,0.105263158,0,0,0.56,0.68,0.8,0.255,0.3975,1,0.333333333,0,1,1,0,2,19,0.65,0.142857143,0.5,0,0.47,0.36,0.745,0.2,0.6025,0.666666667,0,0,0.5,0,0,1
14,G2 Esports,2,45,0.75,0.135135135,0,0.5,0.58,0.63,0.7975,0.2375,0.5075,0.926666667,0.113333333,0,1,1,0,4,28,0.68,0.159090909,0,0,0.44,0.5,0.7625,0.2025,0.4925,0.886666667,0.073333333,0,1,1,0,1
15,100 Thieves,4,28,0.68,0.159090909,0,0,0.44,0.5,0.7625,0.2025,0.4925,0.886666667,0.073333333,0,1,1,0,2,45,0.75,0.135135135,0,0.5,0.58,0.63,0.7975,0.2375,0.5075,0.926666667,0.113333333,0,1,1,0,0
16,KRÜ Esports,3,23,0.8,0.103448276,0,0.5,0.42,0.45,0.7675,0.1175,0.395,1,0,0,1,1,0,1,27,0.71,0.24137931,0,0.5,0.6,0.64,0.8825,0.2325,0.605,1,0,0,1,0,0,0
17,Evil Geniuses,1,27,0.71,0.24137931,0,0.5,0.6,0.64,0.8825,0.2325,0.605,1,0,0,1,0,0,3,23,0.8,0.103448276,0,0.5,0.42,0.45,0.7675,0.1175,0.395,1,0,0,1,1,0,1
18,G2 Esports,2,34,0.76,0.121212121,0,1,0.37,0.67,0.76,0.215,0.4525,0.826666667,0.13,0,1,1,0,4,32,0.65,0.146341463,0.33,0,0.56,0.52,0.785,0.24,0.5475,0.87,0.173333333,0,1,1,0,1
19,Evil Geniuses,4,32,0.65,0.146341463,0.33,0,0.56,0.52,0.785,0.24,0.5475,0.87,0.173333333,0,1,1,0,2,34,0.76,0.121212121,0,1,0.37,0.67,0.76,0.215,0.4525,0.826666667,0.13,0,1,1,0,0
20,MIBR,4,44,0.68,0.134615385,0,0.57,0.5,0.46,0.83,0.2625,0.5575,0.913333333,0.096666667,0,1,1,0,4,52,0.76,0.153846154,0,0.63,0.39,0.59,0.7375,0.17,0.4425,0.903333333,0.086666667,0,1,1,0,0
21,G2 Esports,4,52,0.76,0.153846154,0,0.63,0.39,0.59,0.7375,0.17,0.4425,0.903333333,0.086666667,0,1,1,0,4,44,0.68,0.134615385,0,0.57,0.5,0.46,0.83,0.2625,0.5575,0.913333333,0.096666667,0,1,1,0,1
22,Sentinels,3,44,0.68,0.06,0.2,0,0.41,0.56,0.815,0.155,0.505,0.906666667,0.033333333,0,1,1,0,5,46,0.73,0.130434783,0.33,0.2,0.46,0.63,0.845,0.185,0.495,0.966666667,0.093333333,0,1,1,0,0
23,G2 Esports,5,46,0.73,0.130434783,0.33,0.2,0.46,0.63,0.845,0.185,0.495,0.966666667,0.093333333,0,1,1,0,3,44,0.68,0.06,0.2,0,0.41,0.56,0.815,0.155,0.505,0.906666667,0.033333333,0,1,1,0,1
