,Team,Pistol Rounds Won,First Kills,KAST,Clutches,Eco,Semi-Eco,Half-Buy,Full-Buy,+1,-1,0,+2,-2,-3,+3,+4,-4,Pistol Rounds Won Opp,First Kills Opp,KAST Opp,Clutches Opp,Eco Opp,Semi-Eco Opp,Half-Buy Opp,Full-Buy Opp,+1 Opp,-1 Opp,0 Opp,+2 Opp,-2 Opp,-3 Opp,+3 Opp,+4 Opp,-4 Opp,Result
0,Team Vitality,3,25,0.79,0.2857142857142857,0.0,0.5,1.0,0.68,0.845,0.45999999999999996,0.8225,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,1,12,0.64,0.08695652173913043,0.0,0.0,0.46,0.25,0.54,0.155,0.1775,0.6666666666666666,0.0,0.0,0.5,1.0,0.0,1
1,GIANTX,1,12,0.64,0.08695652173913043,0.0,0.0,0.46,0.25,0.54,0.155,0.1775,0.6666666666666666,0.0,0.0,0.5,1.0,0.0,3,25,0.79,0.2857142857142857,0.0,0.5,1.0,0.68,0.845,0.45999999999999996,0.8225,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0
2,BBL Esports,4,33,0.7,0.1111111111111111,0.0,0.5,0.43,0.48,0.71,0.1475,0.405,0.9033333333333333,0.02,0.0,1.0,1.0,0.0,2,28,0.69,0.07142857142857142,0.2,0.0,0.42,0.67,0.8525,0.29000000000000004,0.595,0.98,0.09666666666666666,0.0,1.0,0.0,0.0,1
3,Karmine Corp,2,28,0.69,0.07142857142857142,0.2,0.0,0.42,0.67,0.8525,0.29000000000000004,0.595,0.98,0.09666666666666666,0.0,1.0,0.0,0.0,4,33,0.7,0.1111111111111111,0.0,0.5,0.43,0.48,0.71,0.1475,0.405,0.9033333333333333,0.02,0.0,1.0,1.0,0.0,0
4,Team Heretics,3,31,0.76,0.03571428571428571,0.33,0.5,0.31,0.68,0.6325,0.10250000000000001,0.39,0.7966666666666667,0.0,0.0,1.0,1.0,0.0,3,27,0.64,0.1891891891891892,0.0,0.0,0.33,0.62,0.8975,0.3675,0.6100000000000001,1.0,0.20333333333333334,0.0,1.0,0.0,0.0,1
5,Apeks,3,27,0.64,0.1891891891891892,0.0,0.0,0.33,0.62,0.8975,0.3675,0.6100000000000001,1.0,0.20333333333333334,0.0,1.0,0.0,0.0,3,31,0.76,0.03571428571428571,0.33,0.5,0.31,0.68,0.6325,0.10250000000000001,0.39,0.7966666666666667,0.0,0.0,1.0,1.0,0.0,0
6,FUT Esports,3,30,0.83,0.1111111111111111,0.0,0.0,0.67,0.67,0.7975,0.125,0.69,0.82,0.0,0.0,1.0,1.0,0.0,1,13,0.61,0.13333333333333333,0.0,0.25,0.25,0.52,0.875,0.2025,0.31,1.0,0.18000000000000002,0.0,0.0,1.0,0.0,1
7,KOI,1,13,0.61,0.13333333333333333,0.0,0.25,0.25,0.52,0.875,0.2025,0.31,1.0,0.18000000000000002,0.0,0.0,1.0,0.0,3,30,0.83,0.1111111111111111,0.0,0.0,0.67,0.67,0.7975,0.125,0.69,0.82,0.0,0.0,1.0,1.0,0.0,0
8,FNATIC,3,24,0.7,0.13333333333333333,0.0,0.5,0.57,0.64,0.88,0.2475,0.5975,1.0,0.04666666666666667,0.0,1.0,1.0,0.0,1,18,0.68,0.07407407407407407,0.0,0.0,0.33,0.5,0.7525,0.12,0.4025,0.62,0.0,0.0,1.0,1.0,0.0,1
9,Natus Vincere,1,18,0.68,0.07407407407407407,0.0,0.0,0.33,0.5,0.7525,0.12,0.4025,0.62,0.0,0.0,1.0,1.0,0.0,3,24,0.7,0.13333333333333333,0.0,0.5,0.57,0.64,0.88,0.2475,0.5975,1.0,0.04666666666666667,0.0,1.0,1.0,0.0,0
